Ticker,Price USD,Change,Change (%),Volume
BHC,8.02,+0.84,(+11.70%),8.159M
BLCO,20.00,+0.84,+11.70%,3.082M
CORT,42.27,+1.44,(+7.76%),2.302M
RNA,44.63,+1.44,+7.76%,4.715M
APGE,53.34,+2.56,(+6.45%),"549,102"
CART,39.87,+2.56,+6.45%,8.062M
BAK,7.27,+2.44,(+5.78%),2.232M
PTAIY,6.86,+2.44,+5.78%,"21,024"
CORZ,12.03,+2.70,(+5.33%),16.799M
VCEL,46.35,+2.70,+5.33%,"363,638"
PEN,195.58,+2.00,(+5.28%),"464,298"
WST,309.18,+2.00,+5.28%,"693,098"
KTOS,23.41,+0.36,(+5.21%),1.964M
TEM,51.31,+0.36,+5.21%,"954,629"
MLTX,53.11,+0.33,(+5.05%),"691,791"
RGEN,142.03,+0.33,+5.05%,"794,525"
HAYW,14.72,+0.55,(+4.79%),2.658M
SLG,72.04,+0.55,+4.79%,1.138M
KRC,39.99,+2.03,(+4.58%),2.796M
PRCT,82.97,+2.03,+4.58%,"544,503"
COHR,80.98,+8.52,(+4.55%),4.581M
VFC,19.11,+8.52,+4.55%,9.864M
ARWR,20.78,+13.32,(+4.50%),1.529M
ZG,63.20,+13.32,+4.50%,1.303M
FTRE,22.98,+0.98,(+4.37%),1.522M
